Sequencial;Sequencial_Reposta;Resposta;Aluno;Pergunta;Resposta2;NívelRubrica
714;714;714;35;21;Ficar com muito medo.;3
715;715;715;35;22;Do arquivo pessoal de Darlan.;3
697;697;697;35;25;As propagandas eram assustadoras, pensando que isso ia ajudar mas não isso botava medo nas crianças.;2
698;698;698;35;26;Zé Gotinha foi criado em 1986 e aos dois anos já era um sucesso.;3
704;704;704;35;27;A maior campanha foi para encorajar as crianças a tomar a vacina por que a vacina e um assunto sério.;2
699;699;699;35;28;Antigamente ele era feito pelas duas gotinhas da Pólio. Atualmente ele é melhor desenhado e com traços mais modernos.;3
700;700;700;35;30;Por que ele ainda não tinha um nome igual fala no texto.;3
701;701;701;35;32;A escolha do nome de Zé Gotinha foi por meio de um concurso em que os brasileiros enviavam cartas e depois por um sorteio entre as dez mil cartas enviadas com o mesmo nome.;3
702;702;702;35;34;Por que tinha dez mil cartas com o nome de Zé Gotinha e por isso e os organizadores decidiram por esse nome.;3
703;703;703;35;36;Um menino do Distrito Federal levou o prêmio do nome de Zé Gotinha.;3
716;716;716;36;1;Zé Gotinha é um personagem criado por Darlan Rosa, para que alguém forte passasse coragem a quem precisava se vacinar, no começo Zé Gotinha sequer tinha um nome, mas as pessoas mandaram cartas com sugestões de nomes, mais de 10 mil cartas sugeriram esse nome, que prevalece até os dias atuais.;4
726;726;726;36;5;Deve-se tomar a vacina para prevenir doenças.;3
728;728;728;36;6;Poliomielite é uma doença que causa paralisia nas crianças.;3
727;727;727;36;7;Não é preciso ter medo de tomar a vacina, pois ela na verdade é uma coisa boa, te protege de ficar doente e não há nada a temer.;3
729;729;729;36;11;Em certos casos algumas pessoas não tinham acesso a internet.;3
730;730;730;36;13;Ele tem uma expressão dócil e carisma.;2
731;731;731;36;15;Atualmente ele trabalha como escultor;3
732;732;732;36;16;Ele serve para indicar a fala de alguém.;2
733;733;733;36;17;"SUBILINHADO : Darlan virou até nome de prédio residencial na cidade.
CIRCULADO : “Aqui, sou uma pessoa ilustre”, brinca.";3
734;734;734;36;18;Significa que o medo acabou. Deslanchou significa que tornou-se um sucesso;3
717;717;717;36;20;Darlan Rosa é o ilustre criador do personagem Zé Gotinha, que atualmente possui 74 anos de idade.;
735;735;735;36;21;Significa ficar com muito medo.;3
736;736;736;36;22;Ela selecionou esse desenho do Arquivo Pessoal Darlan Rosa.;3
718;718;718;36;25;Antes da criação do Zé Gotinha, as propagandas de vacina eram assustadoras, pois achava--se que se as pessoas tivessem medo de pegar doenças estariam mais dispostas a tomar a vacina, mas isso só piorava as coisas.;3
719;719;719;36;26;Zé Gotinha foi criado em 1986, numa época em que as propagandas de vacinação eram assustadoras, pois achava-se que as pessoas precisavam morrer de medo para entender a seriedade de tomar a vacina.;3
725;725;725;36;27;A ideia era que alguém forte passasse coragem a quem tinha que se vacinar.;3
720;720;720;36;28;O Zé Gotinha atualmente tem traços mais suaves, é mais modernizado e é uma animação em 3D. E quando nasceu ele era feito das 2 gotinhas da poliomielite e era uma animação em 2D.;
721;721;721;36;30;Ele aparecia em um comercial chorando, pois não tinha um nome.;3
722;722;722;36;32;A escolha de seu nome foi feita assim: as pessoas mandavam cartas com sugestões de nomes e houveram mais de 10 mil sugestões para Zé Gotinha.;3
723;723;723;36;34;Foram enviadas mais 10 mil cartas com a sugestão de nome Zé Gotinha.;3
724;724;724;36;36;Foi feito um sorteio para decidir quem levaria o prêmio pela escolha do nome, e quem ganhou foi um menino do Distrito Federal.;3
737;737;737;37;1;Zé Gotinha é um personagem criado pelo Darlan Rosa , criado com o intuito de encorajar as crianças a tomarem vacina, e hoje ele é um eterno mascote  para representar a vacina do Brasil. Ele nem sempre teve esse nome.;4
747;747;747;37;5;Pois a vacina é uma parte de prevenção contra doenças.;3
749;749;749;37;6;É uma doença que causa paralisia nas crianças;3
748;748;748;37;7;A vacina é  muito boa pois ela vai te da anticorpos e prevenção contra doenças.;3
750;750;750;37;11;Por  ter crianças de outros estados  que queriam participar e não tinham acesso a internet.;2
751;751;751;37;13;O personagem tem carisma, seu sorriso e sua coragem.;3
752;752;752;37;15;Atualmente ele é escultor na cidade de Brasília.;3
753;753;753;37;16;Para identificar as falas de pessoas.;2
754;754;754;37;17;"SUBLINHADO: Darlan virou até nome de prédio residencial na cidade.
CIRCULADO: Aqui, sou uma pessoa ilustre”.";3
755;755;755;37;18;Que o medo acabou . Deslanchou significa acabou.;2
738;738;738;37;20;Darlan Rosa foi quem criou o personagem Zé Gotinha em 1986.;3
756;756;756;37;21;Ficar com muito medo.;3
757;757;757;37;22;Do arquivo pessoal de Darlan.;3
739;739;739;37;25;Antes de Zé Gotinha existir as propagandas de acordo com o texto eram assustadoras pois achavam que seria bom se as crianças tivessem medo de pegar doenças, para que elas sentissem a necessidade de tomar vacina.;3
740;740;740;37;26;Zé Gotinha foi criado em 1986, em uma época em que as propagandas de vacina davam medo nos menores.;3
746;746;746;37;27;A principal campanha era encorajar as crianças a tomar vacina;3
741;741;741;37;28;Zé Gotinha era feito com duas gotinhas da pólio. Hoje ele é mais modernizado com traços mais leves e hoje em dia sua propaganda também mudou;4
742;742;742;37;30;Zé Gotinha aparecia chorando no comercial pois não tinha nome.;3
743;743;743;37;32;foi feito um  concurso para as crianças da época escolhe -sem seu nome.;2
744;744;744;37;34;Foram enviadas mais de 10 mil cartas pedindo este nome e os organizadores decidiram ser este o nome.;3
745;745;745;37;36;Foi executado um sorteio para decidir quem iria ganhar o prêmio e quem ganhou foi um menino do Distrito Federal.;3
758;758;758;38;1;Personagem criado por Darlan Rosa com intuito de fazer as crianças perderem medo de se vacinar. O personagem não havia recebido um nome , por isso foi feito um concurso que pediu para todos os brasileiros enviarem sugestões de nomes para aquele personagem. para escolher um vencedor foi realizado um sorteio e um menino do Distrito Federeal levou o prêmio.;3
768;768;768;38;5;Porque a vacina esta relacionada a saúde mas, mesmo sendo algo sério não dói nada.;
770;770;770;38;6;É a doença que causa paralisia em crianças.;3
769;769;769;38;7;Porque tomar vacina não dói nada e ainda protege a nossa saúde.;3
771;771;771;38;11;Porque antigamente não existia tanta tecnologia como agora e não dava para mandar e-mails ou mensagens.;2
772;772;772;38;13;Aparentar ser doce , fofo , legal e etc.;1
773;773;773;38;15;Hoje em dia ele trabalha como escultor.;3
774;774;774;38;16;Estas aspas servem para indicar falas de alguma pessoa.;2
775;775;775;38;17;"Sublinhado:Darlan virou até nome de prédio residencial na cidade.
Circulado: “Aqui, sou uma pessoa ilustre”";3
776;776;776;38;18;"Barreira doas medos-o medo impedir algo.o
Deslanchou-algo dar certo.";
759;759;759;38;20;Darlan Rosa foi o criador do personagem Zé Gotinha.;3
777;777;777;38;21;Ter muito medo de algo.;3
778;778;778;38;22;O desenho foi selecionado do arquivo pessoal de seu criador ,Darlan Rosa.;3
760;760;760;38;25;Antes do personagem Zé Gotinha as propagandas passavam medo , eles achavam que assim as crianças teriam medo de ficar doentes e terem que se vacinar já que era tão ruim.;
761;761;761;38;26;O personagem Zé Gotinha foi criado em 1986.;3
767;767;767;38;27;Fazer que as pessoas entendam que a vacina é algo tranquilo e que não dói tanto quanto as propagandas de antes mostravam.;3
762;762;762;38;28;Antes o personagem não era tão bem desenhado e as animações eram diferentes das de hoje ,agora ele tem traços melhores e as animações estão mais avançadas.;3
763;763;763;38;30;Ele aparecia chorando porque ainda não tinha um nome.;3
764;764;764;38;32;A  escolha foi feita a partir de um concurso em que brasileiros mandavam sugestões de nomes.  Depois de 10 mil cartas falando que o nome Zé Gotinha deveria ser escolhidos eles decidiram que seria  esse nome.;3
765;765;765;38;34;Porque 10 mil pessoas acharam esse nome bom.;2
766;766;766;38;36;O ganhador do concurso foi um menino do Distrito Federal.;3
779;779;779;39;1;Zé Gotinha é um personagem que representa a vacinação.;3
789;789;789;39;5;Porque ela da imunidade ao seu corpo contra os vírus.;2
791;791;791;39;6;Doença que causa paralisia.;2
790;790;790;39;7;Porque ela te protege.;2
792;792;792;39;11;Porque naquela época não tinha como enviar mensagem.;2
793;793;793;39;13;Por ser carinhoso.;1
794;794;794;39;15;Trabalha como escultor.;3
795;795;795;39;16;Para indicar uma fala do personagem da reportagem.;2
796;796;796;39;17;"Sublinhado-Darlan virou até nome de prédio residencial na cidade, opinião- ""Aqui, sou uma pessoa ilustre”.";2
797;797;797;39;18;Barreira dos medos-medo que as pessoas tem, deslanchou-seguiu em frente.;3
780;780;780;39;20;Darlan Rosa foi o criador do Zé Gotinha.;3
798;798;798;39;21;ter muito medo.;3
799;799;799;39;22;O desenho foi selecionado do arquivo pessoal de Darlan Rosa, o criador dele.;3
781;781;781;39;25;Ele aparecia chorando porque não tinha nome, então pedia para o público para mandar cartas a ele para decidirem o seu nome.;1
782;782;782;39;26;Ele foi criado em 1986.´;3
788;788;788;39;27;Alguém de coragem desse força para os que deviam vacinar.;3
783;783;783;39;28;Ele era desenhado a partir das duas gotinhas da vacina da pólio e atualmente ele tem traços mais elaborados.;3
784;784;784;39;30;Porque ele não tinha nome.;3
785;785;785;39;32;Por meio de um concurso e de um sorteio.;2
786;786;786;39;34;Porque a maioria das cartas do público deram esse nome.;2
787;787;787;39;36;Um menino do Distrito Federal.;3
800;800;800;40;1;Zé Gotinha é um personagem que representa a vacina.;3
810;810;810;40;5;Vacina é um assunto muito serio pois tomando a vacina vc consegue se previnir da tal doença. Manter a carterinha em dia também é muito importante.;3
812;812;812;40;6;É uma doença que causa paralisia nas crianças.;3
811;811;811;40;7;Não é preciso ter medo pios a vacina não é do mal e sim uma maneira de nos proteger das doenças.;3
813;813;813;40;11;O concurso deve ter sido feito por cartas para todos poderem participar e ninguem ficar de fora, assim seria mais justo, todos os brasileiros;2
814;814;814;40;13;O personagem é chamativo e deve ter chamado a atenção das crianças fazendo elas perderem o medo com seus comerciais chamativos e divertidos.;2
815;815;815;40;15;Ele trabalha como escultor atualmente.;3
816;816;816;40;16;As aspas são uma representação te falas.;2
817;817;817;40;17;"""Aqui, sou uma pessoa liustre""";1
818;818;818;40;18;O sentido da primeira palavra é que as crianças perderam o medo e a campanha só foi crescendo.;3
801;801;801;40;20;Darlan Rosa é o pai e criador do Zé Gotinha.;2
819;819;819;40;21;O significado é q as crianças ficassem com medo de  adoeçerem.;1
820;820;820;40;22;Tendo acesso ao arquivo pessoal de Darlan.;3
802;802;802;40;25;As propagandas eram assustadoras, com a ideia das crianças ficarem com medo de ficar doentes e quererem se vacinar.;3
803;803;803;40;26;Zé Gotinha foi criado em 1986.;3
809;809;809;40;27;A ideia era fazer as crianças perderem o medo de se vacinar.;3
804;804;804;40;28;Quando Zé Gotinha nasceu, era um desenho em uma folha de papel feita com duas gotinhas de pólio, no formato de uma gota. Atualmente, Zé Gotinha tem sua animação em 3d e continua com seu formato de gota.;4
805;805;805;40;30;Zé Gotinha estava chorando no comercial pois não tinha um nome.;3
806;806;806;40;32;A escolha do nome do personafem foi feita com sugestões de mais de 10 mil brasileiros.;2
807;807;807;40;34;Eles entenderam isso por meio das sugestões.;2
808;808;808;40;36;Um menino do destrito federal.;3
821;821;821;41;1;E UM MASCOTE QUE INSENTIVA AS PESSOAS A TOMAREM VASINA;3
831;831;831;41;5;PORQUE ELA TRATA DE MUITAS DOENSA PIRIGOSAS;2
833;833;833;41;6;E UMA PARALIZIA;2
832;832;832;41;7;PORQUE E LA VAI TE CURAR DO MAU QUE VC ESTA SENTINDO;2
834;834;834;41;11;POIS FORAM SUGESTOIS MANDADAS POR BRASILEIROS;1
835;835;835;41;13;E AMIGAVEL DIVERTIDO E ANIMADO;
836;836;836;41;15;ELE MORA EM BRASILHA E TEM 74 ANOS;
837;837;837;41;16;CCBB;1
838;838;838;41;17;FATO QUANDO ZE GOTINHA TINHA 2 ANOS JA ERA UM SUSESO OPINIAOSOU UMA PESSOUA ILISTRIA;
839;839;839;41;18;A BARREIRA SIGNIFICA O MEDO DE TOMSR VACINA E A PALAVRA DESLANCHOU SIGNIFICA UMA CAMPANHA DO ZE DO ZE GOTINHA;2
822;822;822;41;20;QUEM CRIOU O ZE GOTINHA;3
840;840;840;41;21;MORER DE MEDO E FICAR COM MUITO MEDO;3
841;841;841;41;22;DO CRIADOR;2
823;823;823;41;25;BEM DESAMANIDAS;1
824;824;824;41;26;EM 1983;3
830;830;830;41;27;INSENTIVAR AS CRIANSAS A TOMAR VACINA;2
825;825;825;41;28;UMA GOTINHA;1
826;826;826;41;30;ELE TAVA SENTINDO TRISTEZA PORQUE ELE IA TOMA VASINA;
827;827;827;41;32;PORQUE AS VASINAS SOLTAM GOTAS;1
828;828;828;41;34;PORQUE FAZ ATE UMPOUCO DE SENTINDO;1
829;829;829;41;36;DALAO ROSA;1
842;842;842;42;1;um mascoti;2
852;852;852;42;5;pois se nao tornarmos a vasina podemos morrer;2
854;854;854;42;6;uma doença que da parlisia nas crianças;3
853;853;853;42;7;porque a vasina e so uma pica e fas muito bem pra saude;3
855;855;855;42;11;porque foi mandada por brasileiros;1
856;856;856;42;13;pois ele e uma gota que se refere o liquido dentro da vasina;1
857;857;857;42;15;ele fas prpagranda de vasina;1
858;858;858;42;16;par testaquar a frase do criador;2
859;859;859;42;17;fanto que aqui sou uma pessoa ilustre´brinca´;1
860;860;860;42;18;se refere a campanha deslanchou;1
843;843;843;42;20;o criador do ze gotinha;3
861;861;861;42;21;ficar muito asutado;3
862;862;862;42;22;da propaganda do ze gotinha;1
844;844;844;42;25;eram pesoas doentes que pasavam mau para ensenteva a tomar a vasina;2
845;845;845;42;26;o ze gotinha  foi criado no ano de  1986;3
851;851;851;42;27;ele tinha dois anos da campanha dele;1
846;846;846;42;28;quando ele era criança era so uma gotinha  agora ele tem perna boca so com uma capesa feita de gotas;2
847;847;847;42;30;pois ele nao tinha nome;3
848;848;848;42;32;o nome ze gotinha foi escolido por brazileiro;1
849;849;849;42;34;porque mais de 10mil pesoas queriam ze gotinhaq;3
850;850;850;42;36;um menino do Destrito Federu ganhol o sorteio;3
863;863;863;43;1;Ze gotinha nasceu da 35 anos;1
873;873;873;43;5;não sei;1
875;875;875;43;6;por que lel não poliomielite;1
874;874;874;43;7;por que  lel não que;2
876;876;876;43;11;pro  que lel não carta;1
877;877;877;43;13;não sei;1
878;878;878;43;15;Lel a gotinha;1
879;879;879;43;16;não sei;1
880;880;880;43;17;pro que doi;1
881;881;881;43;18;não sei;1
864;864;864;43;20;10 mil;1
882;882;882;43;21;não doi;1
883;883;883;43;22;E mutolegau;1
865;865;865;43;25;35 anos;1
866;866;866;43;26;10 mil;1
872;872;872;43;27;não sei;1
867;867;867;43;28;10mel10;
868;868;868;43;30;poque a gotinha se tava;1
869;869;869;43;32;poque e uma gotinha;1
870;870;870;43;34;Par que lel não tilha o nome;1
871;871;871;43;36;por que lel  uma gotinha;1
884;884;884;44;1;Zé Gotinha é um personagem criado para dar coragem a criança tomar vacina.;3
894;894;894;44;5;A vacina é um assunto sério porque ela nos impede de ficar doente por causa de vírus.;2
896;896;896;44;6;Poliomielite é uma doença que causa paralisia nas crianças.;3
895;895;895;44;7;Não é preciso ter medo de tomar vacina porque ela não machuca.;3
897;897;897;44;11;Eu acho que o concurso foi feito por meio de cartas foi que era fácil esse método.;2
898;898;898;44;13;As animações do personagem que incentiva as crianças.;1
899;899;899;44;15;O criador do personagem é escultor.;3
900;900;900;44;16;Essas aspas servem para indicar fala de alguém.;2
901;901;901;44;17;"Fato: Darlan virou até nome de prédio residencial na cidade. Opinião: ""Aqui, sou uma pessoa ilustre""";3
902;902;902;44;18;Medos da criança. Aumentou, cresceu.;2
885;885;885;44;20;Darlan Rosa é o criador do Zé Gotinha que mora em Brasília.;
903;903;903;44;21;Ficar com muito medo.;3
904;904;904;44;22;A reportagem selecionou esse desenho de Darlan Rosa;2
886;886;886;44;25;As propagandas antes do Zé Gotinha eram assustadoras.;2
887;887;887;44;26;O Zé Gotinha foi criado em 1986.;3
893;893;893;44;27;A ideia principal da campanha do Zé Gotinha era incentivar as crianças tomar vacina.;
888;888;888;44;28;Quando Zé Gotinha nasceu como duas gotinhas de pólio, e hoje é um homem em formato de gota.;2
889;889;889;44;30;Ele aparecia no comercial chorando porque ele não tinha nome.;3
890;890;890;44;32;A escolha foi feita por meio de cartas.;2
891;891;891;44;34;Os organizadores entenderam que o nome deveria ser Zé Gotinha porque 10 mil cartas sugeriam esse nome.;3
892;892;892;44;36;Quem levou o prêmio pela escolha do nome foi um menino do Distrito Federal.;3
905;905;905;45;1;mascote de vacina;2
915;915;915;45;5;por que protege de nao ficar doente;2
917;917;917;45;6;doença que causa paralissias em crinças;3
916;916;916;45;7;por que se vc tomar vacina vc nao fica doente;2
918;918;918;45;11;por que atigamente nao avia iternet;2
919;919;919;45;13;gotinha por que essistem gotinha alem de vacina ai as crianças acham;1
920;920;920;45;15;hoje ela tem 72 anos e mora em brasilia;1
921;921;921;45;16;para representar outra pessoa;1
922;922;922;45;17;;
923;923;923;45;18;dos medos;
906;906;906;45;20;quem criou o ze gotinha;3
924;924;924;45;21;ficar com muito medo;3
925;925;925;45;22;arquivo pessoal darla rosa;3
907;907;907;45;25;assustadoras;2
908;908;908;45;26;1986;3
914;914;914;45;27;para as pessoas querer ir tomar vacina;2
909;909;909;45;28;atigamente ele ficava sentado triste e dizia que estava triste e atualmente e feliz e alegre;2
910;910;910;45;30;por que nao queria tomar vacina;1
911;911;911;45;32;sorteio;2
912;912;912;45;34;por que;1
913;913;913;45;36;um menino do destrito federal;3
926;926;926;46;1;um personagem que para que passase coragem quem  vacinace;3
936;936;936;46;5;porque se ninguem tomasse todo mundo ficaria doente;2
938;938;938;46;6;é a doença que parailiza  as crianças;2
937;937;937;46;7;porque vacina e um aliado;2
939;939;939;46;11;porque ninguem nunca tinha visto um personagem assim;1
940;940;940;46;13;ele ensintiva as crianças se vasinarem;1
941;941;941;46;15;a forma que fala na televeção;1
942;942;942;46;16;para destacar a fala do criador;2
943;943;943;46;17;fato;1
944;944;944;46;18;as pessoas começam a se vacinar e nao ter medo;2
927;927;927;46;20;criadora do zé gotinha;3
945;945;945;46;21;o susto tao grande quase morrer;
946;946;946;46;22;arquivo personal;2
928;928;928;46;25;assustadoras;2
929;929;929;46;26;1986;3
935;935;935;46;27;insentivar a todos  tomarem vacina;2
930;930;930;46;28;antigamente ele era uma gotinha e agora e um boneco;2
931;931;931;46;30;porque ele não tinha nome;3
932;932;932;46;32;por um concurso;2
933;933;933;46;34;porque farias pessoas escolheram esse nome;2
934;934;934;46;36;menino do Distrino federal;3
947;947;947;47;1;mascote da vacinação;2
948;948;948;47;1;mascote da vacinação.;2
967;967;967;47;5;para ninguem ficar doente.;2
968;968;968;47;5;por que a vacinação e importante para a a saude;2
971;971;971;47;6;e uma doença que paralisa as crianças.;
972;972;972;47;6;uma doença que paralisa as criança;2
969;969;969;47;7;por que o comercial era asustador;1
970;970;970;47;7;porque ela para o nosso bem.;2
973;973;973;47;11;para todos participar;1
974;974;974;47;11;para todos participar;1
975;975;975;47;13;ele e muito engrasadinho;1
976;976;976;47;13;porque ele e muito legal.;1
977;977;977;47;15;escutor;
978;978;978;47;15;escutor;
979;979;979;47;16;para descarta a fala do criador;2
980;980;980;47;16;para destacar a fala do criador;2
981;981;981;47;17;fato;1
982;982;982;47;17;fato;1
983;983;983;47;18;acabou o medo;2
984;984;984;47;18;acabou o medo;2
949;949;949;47;20;criador do ze gotinha;3
950;950;950;47;20;criadora do zé gotinha.;3
985;985;985;47;21;estar assustado;1
986;986;986;47;21;estava asustado;1
987;987;987;47;22;arquivo pessoal;2
988;988;988;47;22;arquivo pessoal;2
951;951;951;47;25;assustadoras.;2
952;952;952;47;25;asustadoras;2
953;953;953;47;26;1986;3
954;954;954;47;26;1986.;3
965;965;965;47;27;deixa as pessoas sem tem medo de tomar a vacina;3
966;966;966;47;27;deixar as pessoas sem medo de tomar vacina.;3
955;955;955;47;28;antigamente ele era uma gotinha e hoje ele e um boneco.;2
956;956;956;47;28;antigamente ele era uma gotinha e hoje em dia ele virou um boneco;
957;957;957;47;30;por que ele nao tinha nome;3
958;958;958;47;30;porque ele não tinha nome.;3
959;959;959;47;32;com um concurço.;2
960;960;960;47;32;o nome do ze gotinha foi feita no um concurso;2
961;961;961;47;34;por que vara pessoa escolheu esse mesmo nome;
962;962;962;47;34;porque varias pessoas escolheram esse nome;2
963;963;963;47;36;menino do distrito federal.;3
964;964;964;47;36;um menino do distrito federal;3
989;989;989;48;1;um personagem para que passase coragem para quem vacinassse;3
999;999;999;48;5;porque se ninguem tomasse todo mundo ficaria doente;2
1001;1001;1001;48;6;é a doença que parailissa as crianças;2
1000;1000;1000;48;7;porque vacina e um aliado;2
1002;1002;1002;48;11;porque ninguem nunca tinha visto  um personagem assim;1
1003;1003;1003;48;13;a forma que ele fala na telivisão;1
1004;1004;1004;48;15;ele e escultor;3
1005;1005;1005;48;16;para destacar a respost do criador;2
1006;1006;1006;48;17;fato;1
1007;1007;1007;48;18;as pessoas começaram a se vacinar e não ter medofato;2
990;990;990;48;20;foi  a pessoa que criou o zé gotinha;
1008;1008;1008;48;21;o susto ser tão grande quase morrer.;1
1009;1009;1009;48;22;arquivo pessual;2
991;991;991;48;25;assustadora;2
992;992;992;48;26;1986;3
998;998;998;48;27;inssentivar a todos tomarem vacina;2
993;993;993;48;28;antigamente ele era uma gotinha agora e um boneco;2
994;994;994;48;30;porque ele nao tinha nome;3
995;995;995;48;32;por um concurso;2
996;996;996;48;34;porque varias pessoas escolheram esse nome;2
997;997;997;48;36;menino do distrito federal;3
1010;1010;1010;49;1;um personagem para que passasse coragem para quem vacinar;3
1020;1020;1020;49;5;porque vacina pode nos ajudar;
1022;1022;1022;49;6;doença que causa paralisia nas crianças;3
1021;1021;1021;49;7;por vacina é um aliado;2
1023;1023;1023;49;11;porque ninguém nunca tinha visto um personagem com esse carisma , houve muita empatia.;1
1024;1024;1024;49;13;incentiva as crianças ir no posto de vacinação;1
1025;1025;1025;49;15;ele e escultor;3
1026;1026;1026;49;16;para destacar a resposta do criador.;2
1027;1027;1027;49;17;fato;1
1028;1028;1028;49;18;as pessoas começaram a vacinar e n ter medofato;2
1011;1011;1011;49;20;A pessoa que inventou zé gotinha;3
1029;1029;1029;49;21;o susto ser tão grande que quase morrer.;1
1030;1030;1030;49;22;arquivo pessoal;2
1012;1012;1012;49;25;precisava que todo mundo morrece de medo;2
1013;1013;1013;49;26;zé gotinha foi criado em 1986;3
1019;1019;1019;49;27;incentivo a vacina ,falar que a vacina é boa;
1014;1014;1014;49;28;antigamente ele era uma gotinha agora é um boneco;2
1015;1015;1015;49;30;por ainda n ter um nome;3
1016;1016;1016;49;32;por um concurso;2
1017;1017;1017;49;34;porque varias vezes o mesmo nome foi escolhido;2
1018;1018;1018;49;36;levou o premio do nome o menino  Distrito Federal;3
1031;1031;1031;50;1;zé gotinha e a representação da vacina.;2
1041;1041;1041;50;5;È um assunto sério pois cura e previne doenças.;2
1043;1043;1043;50;6;É uma doença que causa paralisia nas crianças.;3
1042;1042;1042;50;7;Não precisamos ter medo pois se agente acreditar não vai doer.;2
1044;1044;1044;50;11;O concurso foi feito em cartas pois todos os brasileiros iriam participar.;2
1045;1045;1045;50;13;Na minha opinião e porque ele e corajoso.;2
1046;1046;1046;50;15;Ele trabalha como escultor.;3
1047;1047;1047;50;16;Na minha opinião para dar sentido nas falas.;1
1048;1048;1048;50;17;Sou uma pessoa corajosa.;1
1049;1049;1049;50;18;As partes mais importantes.;1
1032;1032;1032;50;20;Darlan Rosa e a inventora de Zé Gotinha.;
1050;1050;1050;50;21;Significa as pessoas ficarem com muito medo.;3
1051;1051;1051;50;22;Arquivo pessoal da Darla Rosa.;2
1033;1033;1033;50;25;As propagandas dele era ele chorando em um cantinho pois ele não tinha um nome.;1
1034;1034;1034;50;26;1986 na cidade de Brasília.;3
1040;1040;1040;50;27;A ideia era encorajar as crianças.;
1035;1035;1035;50;28;1986, ele era diferente de hoje em dia , ele chorava num canto ,ele tem um nome e esta feliz com isso.;2
1036;1036;1036;50;30;Ele  chorava pois não tinha nome.;3
1037;1037;1037;50;32;O nome dele foi escolhido em um concurso.;2
1038;1038;1038;50;34;Esse nome foi escolhido pois mais de 10mil pessoas sugeriram esse nome.;3
1039;1039;1039;50;36;Um menino do Distrito Federal.;3
1052;1052;1052;51;1;Zé Gotinha é um personagem criado por Darlan Rosa para ser alguem que passase coragem para quem tinha que se vacinar.;3
1062;1062;1062;51;5;Vacina e um assunto serio, pois se voce se vacina as chances de pegar uma doenca sao menores.;3
1064;1064;1064;51;6;Poliomielite é uma doenca que que causa palisia nas criancas.;3
1063;1063;1063;51;7;Nao e presiso ter medo de tomar vacina, pois elas deixam voce com menos chances de pegar uma doencas.;3
1065;1065;1065;51;11;Eu acho que foi feitop pois a tecnologia de computadores celulares e tablets nao existiam na epoca .Se existiam eram muito caros.;3
1066;1066;1066;51;13;Ha no personagem que incentivam as criancas uma gotinha.;1
1067;1067;1067;51;15;Ele trabalha como escultor.;3
1068;1068;1068;51;16;As aspas servem para mostrar que a frase nao e do autor do texto e sim de outra pessoa.;2
1069;1069;1069;51;17;O fato e Darlan virou ate nome  de predio , E A OPINIAO E Aqui sou uma pessoa ilustre.;3
1070;1070;1070;51;18;A bareira dos medos e muitas criancas com medo e deslanchou  e muito.;2
1053;1053;1053;51;20;Darlan Rosa e o pai do Zé Gotinha.;2
1071;1071;1071;51;21;Morrer de medo significa ficar sem vontade de ficar doente;1
1072;1072;1072;51;22;A reportagem pegou esse desenho de um arquivo pessoal de Darlan Rosa;3
1054;1054;1054;51;25;As propagandas eram assustadoras.;2
1055;1055;1055;51;26;Zé Gotinha foi criado em 1986.;3
1061;1061;1061;51;27;Fazer as criancas perderem o medo de se vacinar.;3
1056;1056;1056;51;28;Darlan Rosa fez o Zé Gotinha com as duas gotinha da polido hoje em dia ele se parece uma gota de agua so que branca.;2
1057;1057;1057;51;30;Ele aparecia no comercial chorando, pois nao tinha um nome ainda.;3
1058;1058;1058;51;32;Foi feita a partir de um concurso .;2
1059;1059;1059;51;34;Eles entenderam que o nome deveria ser este.;1
1060;1060;1060;51;36;Quem levou o premio era um menino do Distrto Federal .;3
1073;1073;1073;52;1;O personagem Zé Gotinha já é um velho conhecido dos brasileiros, desde a década de 1980, quando o mascote foi criado para encorajar as crianças na hora de se vacinar contra a poliomelite.;
1083;1083;1083;52;5;A vacina é um assunto serio, pois elas imunizam o corpo da pessoa contra uma doença.;3
1085;1085;1085;52;6;Poliomelite é uma doença que causava paralisia nas crianças.;3
1084;1084;1084;52;7;Não é preciso ter medo pois as vacinas vão deixar as pessoas imunizadas contra qualquer coisa.;2
1086;1086;1086;52;11;Esse concurso foi feito por cartas porque nessa época não existia internet.;2
1087;1087;1087;52;13;O personagem é uma gotinha. Como as crianças viram que ele é uma gotinha não ficaram com medo de tomar a vacina.;1
1088;1088;1088;52;15;O criador do Zé Gotinha hoje em dia é escultor.;3
1089;1089;1089;52;16;As aspas nese texto servem para destacar as falas.;2
1090;1090;1090;52;17;O primeiro trexo é um fato e o segundo trexo é opinião.;3
1091;1091;1091;52;18;Barreira dos medos: medo de ir a um lugar. Deslanchou: Seguiu;2
1074;1074;1074;52;20;Darlan Rosa è o ´´pai´´ do personagem, que ganhou nome em um concurso.;3
1092;1092;1092;52;21;Morrer de medo significa ficar com muito medo.;3
1093;1093;1093;52;22;A reportagem retirou esse desenho do comercial.;1
1075;1075;1075;52;25;As propagandas eram assustadoras;2
1076;1076;1076;52;26;Zé gotinha foi criado em 1986.;3
1082;1082;1082;52;27;A ideia principal da campanha era fazer as crianças vacinarem.;3
1077;1077;1077;52;28;Quando ele nasceu ele era apenas uma gotinha sem nome atualmente ele já tem nome e conhecido no mundo todo.;2
1078;1078;1078;52;30;Ele aparecia chorando por causa que ele não tinha nome.;3
